expName,screenViewingDist,screenWidthCm,screenHeightCm,taskNum,taskLabel,imLeftRetinalSizeNum,imRightRetinalSizeNum,imLeftKnownSizeNum,imRightKnownSizeNum,imLeftRetinalSize,imRightRetinalSize,imLeftKnownSize,imRightKnownSize,condNum,condLabel,correctSideNum,correctSideLabel,imLeftNum,imRightNum,imLeftName,imRightName,isCorrect,responseNum,responseLabel,RT,sid
Exp_ObjectStroop_AreaControlled,57,41,30.75,2,which is bigger on the screen?,2,1,2,1,r-big,r-small,k-big,k-small,1,congruent,1,left,1,1,ImageFilesMetamers_Paired/Small-visSmall/10_59.jpg,ImageFilesMetamers_Paired/Big-visSmall/10_09.jpg,1,1,leftSide,766.2695,1
Exp_ObjectStroop_AreaControlled,57,41,30.75,2,which is bigger on the screen?,2,1,2,1,r-big,r-small,k-big,k-small,1,congruent,1,left,22,22,ImageFilesMetamers_Paired/Small-visSmall/02_44.jpg,ImageFilesMetamers_Paired/Big-visSmall/02_08.jpg,1,1,leftSide,1558.3805,1
Exp_ObjectStroop_AreaControlled,57,41,30.75,2,which is bigger on the screen?,1,2,2,1,r-small,r-big,k-big,k-small,2,incongruent,2,right,12,12,ImageFilesMetamers_Paired/Small-visSmall/20_79.jpg,ImageFilesMetamers_Paired/Big-visSmall/20_38.jpg,1,2,rightSide,693.8171,1
Exp_ObjectStroop_AreaControlled,57,41,30.75,2,which is bigger on the screen?,1,2,1,2,r-small,r-big,k-small,k-big,1,congruent,2,right,26,26,ImageFilesMetamers_Paired/Small-visSmall/05_54.jpg,ImageFilesMetamers_Paired/Big-visSmall/05_25.jpg,1,2,rightSide,617.3595,1
Exp_ObjectStroop_AreaControlled,57,41,30.75,2,which is bigger on the screen?,2,1,1,2,r-big,r-small,k-small,k-big,2,incongruent,1,left,17,17,ImageFilesMetamers_Paired/Small-visSmall/25_56.jpg,ImageFilesMetamers_Paired/Big-visSmall/25_10.jpg,1,1,leftSide,841.204,1
Exp_ObjectStroop_AreaControlled,57,41,30.75,2,which is bigger on the screen?,2,1,1,2,r-big,r-small,k-small,k-big,2,incongruent,1,left,1,1,ImageFilesMetamers_Paired/Small-visSmall/10_59.jpg,ImageFilesMetamers_Paired/Big-visSmall/10_09.jpg,1,1,leftSide,590.4304,1
Exp_ObjectStroop_AreaControlled,57,41,30.75,2,which is bigger on the screen?,1,2,1,2,r-small,r-big,k-small,k-big,1,congruent,2,right,10,10,ImageFilesMetamers_Paired/Small-visSmall/19_41.jpg,ImageFilesMetamers_Paired/Big-visSmall/19_17.jpg,1,2,rightSide,526.454,1
Exp_ObjectStroop_AreaControlled,57,41,30.75,2,which is bigger on the screen?,1,2,2,1,r-small,r-big,k-big,k-small,2,incongruent,2,right,14,14,ImageFilesMetamers_Paired/Small-visSmall/22_65.jpg,ImageFilesMetamers_Paired/Big-visSmall/22_26.jpg,1,2,rightSide,481.7239,1
Exp_ObjectStroop_AreaControlled,57,41,30.75,2,which is bigger on the screen?,2,1,1,2,r-big,r-small,k-small,k-big,2,incongruent,1,left,5,5,ImageFilesMetamers_Paired/Small-visSmall/14_67.jpg,ImageFilesMetamers_Paired/Big-visSmall/14_34.jpg,1,1,leftSide,479.0573,1
Exp_ObjectStroop_AreaControlled,57,41,30.75,2,which is bigger on the screen?,2,1,1,2,r-big,r-small,k-small,k-big,2,incongruent,1,left,7,7,ImageFilesMetamers_Paired/Small-visSmall/16_73.jpg,ImageFilesMetamers_Paired/Big-visSmall/16_28.jpg,1,1,leftSide,892.0902,1
